id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
DOID:5193	nodular ganglioneuroblastoma		822950002		5193		C42058				C1517445	
DOID:5194	intermixed schwannian stroma-rich ganglioneuroblastoma		822951003		5194		C42057				C1517444	
DOID:5195	peripheral nervous system ganglioneuroblastoma	PNS Ganglioneuroblastoma			5195		C6594				C1335387	
DOID:5196	fallopian tube adenomatoid tumor				5196		C40129				C1517110	
DOID:5199	ureteral obstruction		197807001		5199						C0029866	
DOID:520	aortic disease	aortic disorder | disorder of the aorta	47040006		520		C101253				C0003493	D001018
DOID:5200	urinary tract obstruction	Obstructive Uropathy | urinary obstruction	7163005		5200		C79805	N13.9			C0178879	
DOID:5204	fructose-1,6-bisphosphatase deficiency	fructose 1 phosphate aldolase deficiency | fructose-1,6-diphosphatase deficiency	28183005		5204		C128119	E74.19			C0016756	D015319
DOID:5207	monodermal teratoma	Ovarian Monodermal teratoma	399632009		5207		C7286				C1302569	
DOID:5208	malignant struma ovarii	Struma ovarii, malignant	18854008		5208		C4291				C0334525	
DOID:5212	congenital disorder of glycosylation	carbohydrate-deficient glycoprotein syndrome	238049009		5212		C84615		137		C0282577	D018981
DOID:5213	chronic inflammatory demyelinating polyradiculoneuropathy		128209004		5213		C84636	G61.81			C0393819	D020277
DOID:5214	demyelinating polyneuropathy	peripheral demyelinating neuropathy	23414001		5214		C27062				C0270922	
DOID:5221	chronic polyneuropathy				5221		C36071				C1167650	
DOID:5222	acute necrotizing encephalitis		111897007		5222		C35383				C0338418	D004684
DOID:5223	infertility		8619003		5223		C3836				C0021359	D007246
DOID:5224	acute hemorrhagic encephalitis				5224		C35796				C1332149	
DOID:5225	von Economo's disease	Encephalitis lethargica | von Economo disease	20411005		5225		C26761	A85.8			C0014040	
DOID:5230	hepatoerythropoietic porphyria		111386004		5230		C84754		95159		C0162569	D017121
DOID:5232	aortic valve prolapse				5232						C0003505	D001023
DOID:5233	glomangiosarcoma	malignant Glomus neoplasm	128908003		5233		C4221				C1266111	
DOID:5236	subungual glomus tumor	subungual glomus tumour	403973004		5236		C36079				C1304510	
DOID:5238	benign perivascular tumor				5238		C6529				C1332532	
DOID:5240	retinal hemangioblastoma	Capillary hemangioma of retina	312935003		5240		C39783				C0730303	
DOID:5241	hemangioblastoma	Capillary Hemangioblastoma	81201000		5241		C3801				C0206734	D018325
DOID:525	central nervous system vasculitis				525		C84622				C0751878	D020293
DOID:5251	inflammatory leiomyosarcoma				5251		C27495				C1334179	
DOID:5253	conventional leiomyosarcoma				5253		C9428				C1333157	
DOID:5254	central nervous system leiomyosarcoma	leiomyosarcoma of the CNS			5254		C6999				C1334385	
DOID:5258	granular cell leiomyosarcoma				5258		C27494				C1333871	
DOID:5259	colon leiomyosarcoma	Colonic leiomyosarcoma	1156788007		5259		C5494				C1333093	
DOID:526	human immunodeficiency virus infectious disease	HIV infection	86406008		526		C3108	B20			C0019693	D015658
DOID:5260	colon sarcoma	Colonic sarcoma			5260		C5495				C1333098	
DOID:5261	heart leiomyosarcoma	leiomyosarcoma of Heart			5261		C5364				C1332848	
DOID:5262	heart sarcoma	cardiac sarcoma | sarcoma of Heart			5262		C7723				C0238152	
DOID:5263	ovary leiomyosarcoma	leiomyosarcoma of Ovary			5263		C5234				C1335163	
DOID:5264	epithelioid leiomyosarcoma		42392001		5264		C3700				C0205815	D007890
DOID:5265	lung leiomyosarcoma	pulmonary leiomyosarcoma			5265		C5667				C1334448	
DOID:5267	anus leiomyosarcoma	leiomyosarcoma of anus			5267		C5599				C1332267	
