id	label	synonyms	umls
NCIT:C103923	Congenital Postural Scoliosis		C0265675
NCIT:C103935	Congenital Pulmonary Valve Insufficiency	Congenital Insufficiency of Pulmonary Valve | Congenital Pulmonary Insufficiency	C0265833
NCIT:C103936	Congenital Aortic Valve Insufficiency	Congenital Aortic Insufficiency | Congenital Insufficiency of Aortic Valve | Congential Aortic Valve Insufficiency	C0158617
NCIT:C103956	Coloboma of the Retina	Coloboma of Retina	C3807882
NCIT:C103968	Pyruvate Dehydrogenase Deficiency	PDH	C0034345
NCIT:C104003	Congenital Hematological Disorder		C3267032
NCIT:C104030	Adrenal Cortical Carcinoma by ENSAT Stage	Adrenal Cortex Carcinoma by ENSAT Stage	C3641708
NCIT:C104031	ENSAT Stage I Adrenal Cortical Carcinoma	ENSAT Stage I Adrenal Cortex Cancer | ENSAT Stage I Adrenal Cortex Carcinoma	C3641709
NCIT:C104032	ENSAT Stage II Adrenal Cortical Carcinoma	ENSAT Stage II Adrenal Cortex Cancer | ENSAT Stage II Adrenal Cortex Carcinoma	C3641710
NCIT:C104033	ENSAT Stage III Adrenal Cortical Carcinoma	ENSAT Stage III Adrenal Cortex Cancer | ENSAT Stage III Adrenal Cortex Carcinoma	C3641711
NCIT:C104034	ENSAT Stage IV Adrenal Cortical Carcinoma	ENSAT Stage IV Adrenal Cortex Cancer | ENSAT Stage IV Adrenal Cortex Carcinoma	C3641712
NCIT:C104373	Pseudoangiomatous Stromal Hyperplasia	Breast Pseudoangiomatous Stromal Hyperplasia | PASH	C2931031
NCIT:C104813	Branchial Cleft Remnant	Branchial Cleft	C0079037
NCIT:C105555	Ovarian High Grade Serous Adenocarcinoma	High Grade Ovarian Serous Adenocarcinoma | High-Grade Ovarian Serous Adenocarcinoma | Ovarian High-Grade Serous Adenocarcinoma	C3642254
NCIT:C105556	Ovarian Low Grade Serous Adenocarcinoma	Invasive Ovarian Micropapillary Serous Carcinoma | Low Grade Ovarian Serous Adenocarcinoma | Low-Grade Ovarian Serous Adenocarcinoma | Ovarian Low-Grade Serous Adenocarcinoma	C3642255
NCIT:C105595	Meningocele	Central Nervous System Meningocele	C1261470
NCIT:C106273	ABO Hemolytic Disease of the Newborn	ABO Hemolytic Disease of Newborn | ABO Isoimmunization | Hemolytic Disease due to ABO Isoimmunization	C0270202
NCIT:C107101	Anaphylaxis		C0002792
NCIT:C107376	Pediatric Non-Congenital Ventricular Tachycardia		C3828621
NCIT:C107377	Musculoskeletal Disorder	Disorder of Musculoskeletal System | Musculoskeletal System Disorder	C0026857
NCIT:C107671	Mucin-Depleted Foci of the Mouse Intestinal Tract	MDF of the Mouse Intestinal Tract	C3828884
NCIT:C107672	Intramucosal Carcinoma of the Mouse Intestinal Tract		C3829516
NCIT:C107673	Serrated Lesion of the Mouse Intestinal Tract		C3828188
NCIT:C107674	Metastatic Carcinoma of the Mouse Intestinal Tract		C3829116
NCIT:C110923	Chorioretinitis		C1867031
