id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
ORPHA:263711	OBSOLETE: X chromosome anomaly								263711			
ORPHA:3038	Delayed speech-facial asymmetry-strabismus-ear lobe creases syndrome	Mehes syndrome							3038	182875	C2931119	C536146
ORPHA:263665	NK-cell enteropathy								263665		C4509932	
ORPHA:263676	OBSOLETE: Hereditary epidermolysis bullosa associated with ocular features								263676			
ORPHA:263558	OBSOLETE: Peeling skin syndrome type C	OBSOLETE: Generalized deciduous skin type C | OBSOLETE: Generalized peeling skin syndrome type C							263558			
ORPHA:3035	Growth delay-hydrocephaly-lung hypoplasia syndrome	Game-Friedman-Paradice syndrome							3035	236640	C1856052	C535406
ORPHA:3034	Delayed membranous cranial ossification	Gonzales-del Angel syndrome							3034	155980	C1835030	C563592
ORPHA:263662	Familial multiple meningioma								263662		C4707361	
ORPHA:263548	Peeling skin syndrome type A	Generalized peeling skin syndrome type A | Non-inflammatory generalized peeling skin syndrome type A. | Non-inflammatory peeling skin syndrome type A | PSS type A							263548		C5679692	
ORPHA:3033	Renal tubular dysgenesis	Primitive renal tubule syndrome | Renotubular dysgenesis							3033		C0266313	
ORPHA:263553	Peeling skin syndrome type B	Generalized peeling skin disease type B | Generalized peeling skin syndrome type B | Inflammatory peeling skin disease | Inflammatory peeling skin syndrome | PSS type B | PSS1 | Peeling skin syndrome 1							263553		C5679693	
ORPHA:3032	NPHP3-related Meckel-like syndrome	Goldston syndrome | Meckel syndrome type 7 | Meckel-like syndrome type 1 | Renal-hepatic-pancreatic dysplasia-Dandy-Walker cysts syndrome							3032	267010	C2673885	
ORPHA:263534	Acral peeling skin syndrome	Acral PSS | Localized PSS | PSS 2 | Peeling skin syndrome 2							263534	609796	C1853354	C536316
ORPHA:263543	Generalized peeling skin syndrome	Generalized deciduous skin | Generalized PSS							263543	270300	C4305156	
ORPHA:263516	Progressive myoclonic epilepsy type 3	EPM3 | PME type 3 | Progressive myoclonic epilepsy due to KCTD7 deficiency | Progressive myoclonus epilepsy type 3							263516		C2673257	C567095
ORPHA:263524	Acute necrotizing encephalopathy of childhood	ANEC | Isolated ANE | Isolated acute necrotizing encephalopathy							263524		C4706387	
ORPHA:3029	NON RARE IN EUROPE: Horseshoe kidney							Q63.1	3029			
ORPHA:263501	COG4-CDG	CDG syndrome type IIj | CDG-IIj | CDG2J | Carbohydrate deficient glycoprotein syndrome type IIj | Congenital disorder of glycosylation type 2j | Congenital disorder of glycosylation type IIj							263501	613489	C4303552	
ORPHA:3026	Radial ray hypoplasia-choanal atresia syndrome	Goldblatt-Viljoen syndrome							3026	179270	C2931464	C537280
ORPHA:263508	COG1-CDG	CDG syndrome type IIg | CDG-IIg | CDG2G | Carbohydrate deficient glycoprotein syndrome type IIg | Congenital disorder of glycosylation type 2g | Congenital disorder of glycosylation type IIg							263508	611209	C2931011	C535756
ORPHA:263482	Spondyloepimetaphyseal dysplasia, Maroteaux type	Pseudo-Morquio syndrome type 2 | Pseudo-Morquio type II syndrome | SEMD, Maroteaux type | SEMD-M							263482	184095	C3159322	
ORPHA:3021	RAPADILINO syndrome								3021	266280	C1849453	C535288
ORPHA:3022	Rapp-Hodgkin syndrome	Ectodermal dysplasia syndrome, Rapp-Hodgkin type | Ectodermal dysplasia, Rapp-Hodgkin type | Hypohidrotic ectodermal dysplasia- cleft lip/palate syndrome | RHS							3022	129400	C1785148	C535289
ORPHA:263479	Fuchs heterochromic iridocyclitis	FHI							263479		C0016782	
