id	label	synonyms	snomed	doid	nci	icd10	orphanet	umls	mesh
MONDO:0004176	childhood extraosseous osteosarcoma	childhood extraskeletal osteosarcoma | extraosseous osteosarcoma of childhood | paediatric extraosseous osteosarcoma | paediatric extraskeletal osteosarcoma | pediatric extraosseous osteosarcoma | pediatric extraskeletal osteosarcoma		7297	C27376			C1332968	
MONDO:0004177	benign urethral neoplasm	benign neoplasm of the urethra | benign neoplasm of urethra | benign tumor of the urethra | benign tumor of urethra | benign tumour of the urethra | benign tumour of urethra | benign urethra neoplasm | benign urethra tumor | benign urethra tumour | benign urethral tumor | benign urethral tumour | urethra benign neoplasm	92466006	730	C3619	D30.4		C0154019	
MONDO:0004178	testicular yolk sac tumor, endodermal sinus pattern			7302	C39927			C1515303	
MONDO:0004180	benign urinary system neoplasm	benign neoplasm of the urinary tract | benign neoplasm of urinary tract | benign tumor of the urinary tract | benign tumor of urinary tract | benign tumour of the urinary tract | benign tumour of urinary tract | benign urinary tract neoplasm | benign urinary tract tumor | benign urinary tract tumour | renal system benign neoplasm	92468007	731	C192667;C4893			C0686167	D014571
MONDO:0004181	breast adenomyoepithelial adenosis			7312	C40391			C1511283	
MONDO:0004182	stage IVb bladder cancer	Jewett-Marshall stage D2 bladder cancer | Jewett-Marshall stage D2 urinary bladder cancer | Jewett-Marshall stage D2 urinary bladder carcinoma | stage IVB urinary bladder cancer | stage IVB urinary bladder carcinoma		7315	C9368			C1336362	
MONDO:0004183	axonal neuropathy	axon peripheral neuropathy | peripheral neuropathy of axon	60703000	7319	C27301			C1263857	
MONDO:0004184	urethral disorder	disease of urethra | disease or disorder of urethra | disorder of urethra | urethra disease | urethra disease or disorder | urethra disorder	4985009	732	C26903			C0041969	D014522
MONDO:0004185	ovarian serous cystadenofibroma	ovary serous cystadenofibroma		7320	C40032			C0877572	
MONDO:0004186	cranial nodular fasciitis	cranial pseudosarcomatous fasciitis		7326	C27248			C1333162	
MONDO:0004187	nodular fasciitis	pseudosarcomatous fasciitis | pseudosarcomatous fibromatosis	400138001	7327	C3827	M72.4	477742	C0410005	
MONDO:0004188	iris spindle cell melanoma	spindle cell melanoma of iris | spindle cell melanoma of the iris		7328	C6098			C1334287	
MONDO:0004189	esophageal tuberculosis	esophagus tuberculosis | oesophagus tuberculosis | tuberculosis of oesophagus	15284007	7332				C0152902	
MONDO:0004190	nephrogenic adenoma of urinary bladder	nephrogenic adenoma of the urinary bladder | urinary bladder nephrogenic adenoma		7333	C7415			C1336892	
MONDO:0004191	nephrogenic adenoma			7334	C7413			C0334039	
MONDO:0004192	urethra cancer	cancer of urethra | malignant neoplasm of the urethra | malignant neoplasm of urethra | malignant tumor of the urethra | malignant tumor of urethra | malignant tumour of the urethra | malignant urethra neoplasm | malignant urethra tumor | malignant urethra tumour | malignant urethral neoplasm | malignant urethral tumor | malignant urethral tumour	363459007	734	C7507	C68.0		C0153620	
MONDO:0004193	pediatric ovarian dysgerminoma	childhood dysgerminoma | childhood dysgerminoma of ovary | childhood ovarian dysgerminoma | childhood ovarian germinomatous germ cell tumor | childhood ovarian germinomatous germ cell tumour | dysgerminoma of ovary of childhood | paediatric dysgerminoma of ovary | pediatric dysgerminoma of ovary		7340	C6550			C1332988	
MONDO:0004194	ovarian stromal hyperthecosis			7347	C40446			C1518743	
MONDO:0004195	thymic dysplasia			7350	C27802			C1331541	
